Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2019-01-02,226.28579711914062,227.21743655664847,222.45979990497813,222.4869335602844,126925200
2019-01-03,220.885986328125,224.82957180264293,220.3975529437779,224.52203404894396,144140700
2019-01-04,228.28469848632812,228.93593372534505,223.56324990418057,223.94313482669872,142628800
2019-01-07,230.08462524414062,231.50467017328936,227.65154012834347,228.55603191554246,103139100
2019-01-08,232.24639892578125,232.73483233043657,229.74096604415655,232.29164008713926,102512600
2019-01-09,233.33177185058594,234.1819964277047,231.72177740510818,232.96092686670207,95006600
2019-01-10,234.15484619140625,234.40810279625575,231.09765943100186,231.7850820454075,96823900
2019-01-11,234.24533081054688,234.27246446442828,232.48156049954494,233.06947473557784,73858100
2019-01-14,232.81626892089844,233.63030631794413,231.9208305444391,232.32783544150732,70908200
2019-01-15,235.48446655273438,235.8010442314144,233.18704944799848,233.19610319972983,85208300
2019-01-16,236.0543212890625,236.94975949513426,235.7106099283348,235.91862541295123,77636700
2019-01-17,237.84515380859375,238.71348580268366,235.1316784335853,235.17691958490815,96118400
2019-01-18,241.0109405517578,241.4812940770561,237.88140583123297,239.67231000229387,127900300
2019-01-22,237.7547149658203,239.744608081368,236.12664067339094,239.52753886981762,115531200
2019-01-23,238.2522735595703,239.50047710644523,235.76492021998615,238.79497435424318,86030300
2019-01-24,238.37887573242188,238.9668176645026,237.0492712757836,238.0713517387453,59204100
2019-01-25,240.3958282470703,241.22797284400926,238.47831005752727,240.24205249659607,96883400
2019-01-28,238.5688018798828,238.6320953371983,236.78695166178997,238.2341442800167,85613700
2019-01-29,238.2522735595703,239.28338022683067,237.41110250942728,238.7135733754786,66136300
2019-01-30,242.02395629882812,242.87418098384302,239.01201009550456,239.78083381317617,92473700
2019-01-31,244.14947509765625,244.6379084187703,241.74352349730222,241.96062030829754,104012100
2019-02-01,244.26705932617188,245.29819325300298,243.47110210607065,244.34846027783226,85782500
2019-02-04,245.985595703125,246.04891675729695,243.63391137344414,244.31228026068473,60744800
2019-02-05,247.01669311523438,247.3242169862708,245.91321211779928,246.4197252704354,79552800
2019-02-06,246.6911163330078,247.23381700317975,245.9494539401056,246.7363574905487,58347800
2019-02-07,244.33950805664062,245.61481762140906,242.66619215850142,245.06309069225898,95482000
2019-02-08,244.6378936767578,244.73737452350647,242.25002212000604,243.08216670572523,75788900
2019-02-11,244.77357482910156,245.56047830541576,244.23992796128962,245.29819554857775,68021400
2019-02-12,247.9212646484375,248.30113583376448,246.32934988312897,246.4017247013187,72270200
2019-02-13,248.72618103027344,249.5764054955743,248.33725619694803,248.76236842959847,65277200
2019-02-14,248.17449951171875,249.31416817342543,246.80870786811175,247.63179883457735,83234400
2019-02-15,250.87892150878906,250.91510891470116,249.7573603516423,249.96537582910483,97088700
2019-02-19,251.3130340576172,251.97329535822706,250.06483104701613,250.07388479729204,59120800
2019-02-20,251.81967163085938,252.28097147647875,250.77045738769053,251.2769708012326,76610800
2019-02-21,250.92416381835938,251.53921170717172,249.9563508268174,251.17742045509996,64214700
2019-02-22,252.47982788085938,252.678789557256,250.90599354358048,251.5481749255682,78114600
2019-02-25,252.82354736328125,254.44259547406088,252.74214641061414,253.91800235590614,69030700
2019-02-26,252.6426544189453,253.52903871083865,252.2627557203489,252.47079876992538,56844100
2019-02-27,252.53421020507812,252.88694777733173,250.97848265912103,251.9191345870699,56921600
2019-02-28,252.06382751464844,252.7603040303979,251.73822363941935,252.3170841741285,69268300
2019-03-01,253.63766479492188,254.05372339596641,252.1904720400513,253.65574469830437,78880500
2019-03-04,252.7151336669922,254.94923066872258,250.39963567364978,254.70502769388648,106494600
2019-03-05,252.37136840820312,253.04071131256302,251.81964149276968,252.84172195227885,59114600
2019-03-06,250.84280395507812,252.49804010092672,250.5172000199077,252.48898634620173,75039800
2019-03-07,248.74429321289062,250.53516927116314,247.89406873158808,250.3904472740373,94885100
2019-03-08,248.24688720703125,248.41874290953555,246.4017432478917,246.87206918990435,85795800
2019-03-11,251.8467254638672,252.00952738027834,248.94331420959332,248.9704478623285,65098900
2019-03-12,252.79647827148438,253.32109912651686,252.2176177037223,252.40755330845124,79667500
2019-03-13,254.46978759765625,255.4104670494615,253.52910814585098,253.69193769150078,80639200
2019-03-14,254.30691528320312,254.92196307641956,253.8637231385176,254.49685083051136,67518400
2019-03-15,255.56333923339844,256.38096195378296,254.6730229192786,254.86382280947174,81309000
2019-03-18,256.4900817871094,256.7898944686911,255.55435237929865,255.78147143677208,62199800
2019-03-19,256.5536804199219,258.33428605823576,255.654297828923,257.5621034465064,90268100
2019-03-20,255.7814483642578,257.55298794254827,254.6640404459596,256.3356332312403,84609200
2019-03-21,258.67034912109375,259.0791466352923,254.90924564356396,254.95468607257527,79550400
2019-03-22,253.69192504882812,257.825479792416,253.62832507443753,257.2985759069351,122659300
2019-03-25,253.50108337402344,254.54582495123483,252.22922285722348,253.34663029633205,85575200
2019-03-26,255.39073181152344,256.35371401453193,253.97351167409647,255.2726255126573,68125900
2019-03-27,254.05531311035156,255.9722119267369,252.49273324904942,255.38168033493164,72224700
2019-03-28,255.01834106445312,255.47257915505787,253.52845454400585,254.69130294697428,56238500
2019-03-29,256.62628173828125,256.95331975392406,255.40892736147038,256.54452223437056,82186800
2019-04-01,259.6696472167969,259.96945978133186,258.3705333691011,258.64309276635873,77617900
2019-04-02,259.796875,260.03308762471767,258.99741170817384,259.86047497196034,40070400
2019-04-03,260.2057189941406,261.4230735580818,259.59702784992584,261.0233418834159,68243200
2019-04-04,260.8960876464844,261.15045977521,259.83318642892766,260.53270285180247,48997500
2019-04-05,262.1589050292969,262.2134113669832,261.2776822707206,261.5684012213713,58621700
2019-04-08,262.3587646484375,262.4677773212366,261.0687166631845,261.73191405535823,53566300
2019-04-09,261.01422119140625,261.71373768730723,260.46006417344944,261.3866996552971,66142300
2019-04-10,261.9045104980469,261.9953636279222,261.0141941844415,261.43208531248854,52601500
2019-04-11,261.83172607421875,262.4040700969543,261.25938205148316,262.39497646977657,55093100
2019-04-12,263.6033630371094,263.88498834020857,261.8772644206836,263.45800357027053,69727800
2019-04-15,263.4308166503906,263.77604200538946,262.6222596111049,263.6760952173417,49596700
2019-04-16,263.6033630371094,264.3755730752293,263.0037656330804,264.32106674072514,52153200
2019-04-17,262.9584045410156,264.7571693816696,262.54048559514604,264.72991620906845,58268300
2019-04-18,263.4761047363281,263.74866407294934,262.24059112863927,263.5487983158847,68708500
2019-04-22,263.70330810546875,263.85776121813205,262.6131535832943,262.70400672459704,40160100
2019-04-23,266.0744323730469,266.31064498451485,263.83958936860773,264.0757742555908,52246600
2019-04-24,265.48394775390625,266.32882376823244,265.3385882689974,265.99269208884374,50392900
2019-04-25,265.3203430175781,265.98354032418604,264.1211760470203,265.38394297666673,57770900
2019-04-26,266.55596923828125,266.6286351257091,264.58456395124153,265.36586779466154,50916400
2019-04-29,266.973876953125,267.50080863634395,266.55598569451405,266.64683885277503,57197700
2019-04-30,267.110107421875,267.4008263999778,265.2023299737335,266.62861624385556,81111700
2019-05-01,265.10235595703125,267.9549836531513,265.0932623259975,267.74602421076844,71671900
2019-05-02,264.5299987792969,265.9108998537528,263.02192549899985,264.9842367170556,65030200
2019-05-03,267.1191101074219,267.40073535767124,264.6389614549749,266.0198622685622,56543700
2019-05-06,266.0198974609375,266.4650417429024,262.4586600317724,262.77663211509673,107198100
2019-05-07,261.57745361328125,264.19386858498655,259.651489182577,263.5942711769304,144729900
2019-05-08,261.2140808105469,262.94017951789175,260.61448337493516,261.2140808105469,91568300
2019-05-09,260.4237365722656,261.0323999737638,257.37124275936833,259.12462253075154,103471100
2019-05-10,261.73193359375,262.4950500847951,256.46275631107704,259.47890319793606,112429300
2019-05-13,255.15463256835938,257.543929600783,254.3097562888737,256.5718810598941,127290500
2019-05-14,257.46209716796875,259.006517483635,256.0539704341755,256.1811426595724,77003200
2019-05-15,258.9701232910156,259.6151333809331,255.60875156001296,255.8177109860911,73956400
2019-05-16,261.3685302734375,262.7403100442406,259.60608479091053,259.678750664903,76749600
2019-05-17,259.6787109375,262.18611293615237,259.0246072736985,259.04279453277763,100353000
2019-05-20,257.9618225097656,259.78784077968186,257.20777175433113,258.06174158185127,62877600
2019-05-21,260.28741455078125,260.6689588672591,259.41525780701147,259.66962992615726,46847100
2019-05-22,259.4880065917969,260.45098894228386,259.0065154165534,259.3244875642397,49482500
2019-05-23,256.31744384765625,257.2894921421746,254.89112980756062,257.2440794298612,98733800
2019-05-24,256.8988342285156,258.1888823074058,256.2719835899369,257.7709633986957,55268100
2019-05-28,254.50950622558594,258.1434096597531,254.49134668922898,257.18042746765747,70029400
2019-05-29,252.80160522460938,253.79184073252165,251.38438488993793,253.38304316933977,104972900
2019-05-30,253.49208068847656,254.40965040543904,252.38373875667182,253.56474657644364,62523800
2019-05-31,250.076171875,251.7568579751095,250.04891870470576,250.92107560309483,86862800
2019-06-03,249.4402313232422,251.23899583854234,248.09567702764247,250.11249460880012,96428000
2019-06-04,254.854736328125,254.99100216459775,251.3025923268239,251.756830264722,77231900
2019-06-05,257.0623474121094,257.08960058166844,254.66398531745557,256.49000312688355,71169700
2019-06-06,258.73394775390625,259.41530473822075,256.7080640642159,257.36216787813726,69430400
2019-06-07,261.3230895996094,262.41327177987216,259.58789728700805,259.7605099276244,74272200
2019-06-10,262.5222473144531,264.20293305272617,262.43139419153664,262.8856320816385,60799100
2019-06-11,262.4586486816406,264.72983814362175,261.80454500761084,264.35735974491917,58641300
2019-06-12,261.99542236328125,262.78579209386777,261.47758435893525,262.2225413766447,47096300
2019-06-13,263.07647705078125,263.4398896430379,262.2043478232395,262.9129580189587,48945200
2019-06-14,262.7857971191406,263.39446056088036,262.0135869140401,262.7857971191406,52324700
2019-06-17,262.8856506347656,263.65786064733356,262.71303800638634,263.021916466517,39205700
2019-06-18,265.6383056640625,266.7012344979721,264.3573515204196,264.72076400261494,85434800
2019-06-19,266.2379455566406,266.7739430117506,264.7934721997542,265.7746139748997,78674400
2019-06-20,268.78167724609375,269.19050250728395,266.3015556832951,268.94522398526107,116570000
2019-06-21,268.39093017578125,269.7785195133199,268.17184445388665,268.5096108949154,83309500
2019-06-24,268.0624084472656,268.9205038198457,267.90720409284063,268.6010129678361,47582700
2019-06-25,265.4331970214844,268.14449463013557,265.3236541458746,268.1171089112332,82028700
2019-06-26,265.1684265136719,266.84814879707096,265.05888364769527,266.3369301829636,51584900
2019-06-27,266.1087951660156,266.6200139502808,265.55194279217955,265.9353429507113,40355200
